numero_ordine,ean,sku,quantita,titolo,data_ordine,destinatario,azienda,indirizzo,cap,citta,provincia,codice_paese,telefono,email,note
RLB-BATCH-007,SHOPIFY-57783761830275,,1,Batteria ibrida Lexus NX 300h 2014-2021 Standard,2026-08-31,Davide Ricci,,Viale Europa 45,50126,Firenze,FI,IT,3332001007,davide.ricci@example.com,Test Galluse Relifebattery
RLB-BATCH-008,SHOPIFY-57783761305987,,1,Batteria ibrida Lexus UX 250h 2019-oggi Standard,2026-08-31,Francesca Gallo,,Via del Corso 55,00186,Roma,RM,IT,3332001008,francesca.gallo@example.com,Test Galluse Relifebattery
RLB-BATCH-008,SHOPIFY-57783761109379,,1,Batteria ibrida Toyota Auris 1 2010-2013 Standard,2026-08-31,Francesca Gallo,,Via del Corso 55,00186,Roma,RM,IT,3332001008,francesca.gallo@example.com,Test Galluse Relifebattery
RLB-BATCH-008,SHOPIFY-57783761142147,,1,Batteria ibrida Toyota Auris 2 2014-2019 Standard,2026-08-31,Francesca Gallo,,Via del Corso 55,00186,Roma,RM,IT,3332001008,francesca.gallo@example.com,Test Galluse Relifebattery
RLB-BATCH-009,SHOPIFY-57783761273219,,1,Batteria ibrida Lexus CT 200h 2010-2012 Standard,2026-08-31,Paolo Rinaldi,,Via della Liberta 16,90139,Palermo,PA,IT,3332001009,paolo.rinaldi@example.com,Test Galluse Relifebattery
RLB-BATCH-009,SHOPIFY-57783761568131,,1,Batteria ibrida Lexus GS 300h 2013-2019 Standard,2026-08-31,Paolo Rinaldi,,Via della Liberta 16,90139,Palermo,PA,IT,3332001009,paolo.rinaldi@example.com,Test Galluse Relifebattery
RLB-BATCH-009,SHOPIFY-57783761895811,,1,Batteria ibrida Lexus GS 450h 2005-2011 Standard,2026-08-31,Paolo Rinaldi,,Via della Liberta 16,90139,Palermo,PA,IT,3332001009,paolo.rinaldi@example.com,Test Galluse Relifebattery
RLB-BATCH-010,SHOPIFY-57783761469827,,1,Batteria ibrida Lexus IS 300h 2013-2019 Standard,2026-08-31,Chiara Lombardi,,Via Roma 60,70122,Bari,BA,IT,3332001010,chiara.lombardi@example.com,Test Galluse Relifebattery
RLB-BATCH-010,SHOPIFY-57783761830275,,1,Batteria ibrida Lexus NX 300h 2014-2021 Standard,2026-08-31,Chiara Lombardi,,Via Roma 60,70122,Bari,BA,IT,3332001010,chiara.lombardi@example.com,Test Galluse Relifebattery
RLB-BATCH-010,SHOPIFY-57783761305987,,1,Batteria ibrida Lexus UX 250h 2019-oggi Standard,2026-08-31,Chiara Lombardi,,Via Roma 60,70122,Bari,BA,IT,3332001010,chiara.lombardi@example.com,Test Galluse Relifebattery
